year,State,pm25,stateLat,stateLong,fultonLat,fultonLong
2003,NH,0.000281315,43.193852,-71.572395,33.79,-84.47
2003,NJ,0.001742565,40.058324,-74.405661,33.79,-84.47
2003,NM,0.001056993,34.97273,-105.032363,33.79,-84.47
2003,NV,0.000389137,38.80261,-116.419389,33.79,-84.47
2003,NY,0.004471332,43.299428,-74.217933,33.79,-84.47
2003,OH,0.090277523,40.417287,-82.907123,33.79,-84.47
2003,OK,0.007571831,35.007752,-97.092877,33.79,-84.47
2003,OR,0.000211156,43.804133,-120.554201,33.79,-84.47
2003,PA,0.027398859,41.203322,-77.194525,33.79,-84.47
2003,SC,0.078799254,33.836081,-81.163725,33.79,-84.47
2003,SD,0.000463736,43.969515,-99.901813,33.79,-84.47
2003,TN,0.121782996,35.517491,-86.580447,33.79,-84.47
2003,TX,0.045846761,31.968599,-99.901813,33.79,-84.47
2003,UT,0.000548444,39.32098,-111.093731,33.79,-84.47
2003,VA,0.015634535,37.431573,-78.656894,33.79,-84.47
2003,WA,0.0000965,47.751074,-120.740139,33.79,-84.47
2003,WI,0.016126651,43.78444,-88.787868,33.79,-84.47
2003,WV,0.033959777,38.597626,-80.454903,33.79,-84.47
2003,WY,0.002478066,43.075968,-107.290284,33.79,-84.47
2004,AL,0.189506476,32.318231,-86.902298,33.79,-84.47
2004,AR,0.009079094,35.20105,-91.831833,33.79,-84.47
2004,AZ,0.000949701,34.048928,-111.093731,33.79,-84.47
2004,CO,0.001812356,39.550051,-105.782067,33.79,-84.47
2004,CT,0.0000658,41.603221,-73.087749,33.79,-84.47
2004,DE,0.001543388,38.910832,-75.52767,33.79,-84.47
2004,FL,0.055845583,27.664827,-81.515754,33.79,-84.47
2004,GA,0.507546092,32.157435,-82.907123,33.79,-84.47
2004,IA,0.007111151,41.878003,-93.097702,33.79,-84.47
2004,IL,0.035895272,40.633125,-89.398528,33.79,-84.47
2004,IN,0.127621504,40.551217,-85.602364,33.79,-84.47
2004,KS,0.006542539,39.011902,-98.484246,33.79,-84.47
2004,KY,0.097089358,37.839333,-84.270018,33.79,-84.47
2004,LA,0.015056479,31.244823,-92.145024,33.79,-84.47
2004,MA,0.000686253,42.407211,-71.382437,33.79,-84.47
2004,MD,0.015609181,39.045755,-76.641271,33.79,-84.47
2004,MI,0.023383439,44.314844,-85.602364,33.79,-84.47
2004,MN,0.003571317,46.729553,-94.6859,33.79,-84.47
2004,MO,0.024502787,37.964253,-91.831833,33.79,-84.47
2004,MS,0.015557456,32.354668,-89.398528,33.79,-84.47
2004,MT,0.000520163,46.879682,-110.362566,33.79,-84.47
2004,NC,0.145745806,35.759573,-79.0193,33.79,-84.47
2004,ND,0.00398097,47.551493,-101.002012,33.79,-84.47
2004,NE,0.003184886,41.492537,-99.901813,33.79,-84.47
2004,NH,0.000456213,43.193852,-71.572395,33.79,-84.47
2004,NJ,0.00176149,40.058324,-74.405661,33.79,-84.47
2004,NM,0.000577212,34.97273,-105.032363,33.79,-84.47
2004,NV,0.000292745,38.80261,-116.419389,33.79,-84.47
2004,NY,0.005346152,43.299428,-74.217933,33.79,-84.47
2004,OH,0.111486401,40.417287,-82.907123,33.79,-84.47
2004,OK,0.005923933,35.007752,-97.092877,33.79,-84.47
2004,OR,0.000154272,43.804133,-120.554201,33.79,-84.47
2004,PA,0.057133416,41.203322,-77.194525,33.79,-84.47
2004,SC,0.086350247,33.836081,-81.163725,33.79,-84.47
2004,SD,0.00050391,43.969515,-99.901813,33.79,-84.47
2004,TN,0.087676658,35.517491,-86.580447,33.79,-84.47
2004,TX,0.033464067,31.968599,-99.901813,33.79,-84.47
2004,UT,0.000378164,39.32098,-111.093731,33.79,-84.47
2004,VA,0.020726813,37.431573,-78.656894,33.79,-84.47
2004,WA,0.000066,47.751074,-120.740139,33.79,-84.47
2004,WI,0.010917506,43.78444,-88.787868,33.79,-84.47
2004,WV,0.053432853,38.597626,-80.454903,33.79,-84.47
2004,WY,0.001880499,43.075968,-107.290284,33.79,-84.47
2005,AL,0.211790544,32.318231,-86.902298,33.79,-84.47
2005,AR,0.006497004,35.20105,-91.831833,33.79,-84.47
2005,AZ,0.000829631,34.048928,-111.093731,33.79,-84.47
2005,CO,0.002215233,39.550051,-105.782067,33.79,-84.47
2005,CT,0.000170028,41.603221,-73.087749,33.79,-84.47
2005,DE,0.003399557,38.910832,-75.52767,33.79,-84.47
2005,FL,0.056743453,27.664827,-81.515754,33.79,-84.47
2005,GA,0.611175544,32.157435,-82.907123,33.79,-84.47
2005,IA,0.007800455,41.878003,-93.097702,33.79,-84.47
2005,IL,0.032457585,40.633125,-89.398528,33.79,-84.47
2005,IN,0.129247782,40.551217,-85.602364,33.79,-84.47
2005,KS,0.007530416,39.011902,-98.484246,33.79,-84.47
2005,KY,0.08738957,37.839333,-84.270018,33.79,-84.47
2005,LA,0.012360574,31.244823,-92.145024,33.79,-84.47
2005,MA,0.001638666,42.407211,-71.382437,33.79,-84.47
2005,MD,0.030470089,39.045755,-76.641271,33.79,-84.47
2005,MI,0.025457614,44.314844,-85.602364,33.79,-84.47
2005,MN,0.004075843,46.729553,-94.6859,33.79,-84.47
2005,MO,0.02498732,37.964253,-91.831833,33.79,-84.47
2005,MS,0.013989561,32.354668,-89.398528,33.79,-84.47
2005,MT,0.00063247,46.879682,-110.362566,33.79,-84.47
2005,NC,0.19535819,35.759573,-79.0193,33.79,-84.47
2005,ND,0.004446067,47.551493,-101.002012,33.79,-84.47
2005,NE,0.003618269,41.492537,-99.901813,33.79,-84.47
2005,NH,0.001127796,43.193852,-71.572395,33.79,-84.47
2005,NJ,0.003852519,40.058324,-74.405661,33.79,-84.47
2005,NM,0.000656193,34.97273,-105.032363,33.79,-84.47
2005,NV,0.000487331,38.80261,-116.419389,33.79,-84.47
2005,NY,0.005769284,43.299428,-74.217933,33.79,-84.47
2005,OH,0.123864401,40.417287,-82.907123,33.79,-84.47
2005,OK,0.006518135,35.007752,-97.092877,33.79,-84.47
2005,OR,0.000113574,43.804133,-120.554201,33.79,-84.47
2005,PA,0.083881683,41.203322,-77.194525,33.79,-84.47
2005,SC,0.118246912,33.836081,-81.163725,33.79,-84.47
2005,SD,0.000400827,43.969515,-99.901813,33.79,-84.47
2005,TN,0.082410154,35.517491,-86.580447,33.79,-84.47
2005,TX,0.039360303,31.968599,-99.901813,33.79,-84.47
2005,UT,0.000531768,39.32098,-111.093731,33.79,-84.47
2005,VA,0.037003422,37.431573,-78.656894,33.79,-84.47
2005,WA,0.0000375,47.751074,-120.740139,33.79,-84.47
2005,WI,0.010344352,43.78444,-88.787868,33.79,-84.47
2005,WV,0.054094081,38.597626,-80.454903,33.79,-84.47
2005,WY,0.002665912,43.075968,-107.290284,33.79,-84.47
2006,AL,0.211100317,32.318231,-86.902298,33.79,-84.47
2006,AR,0.009830054,35.20105,-91.831833,33.79,-84.47
2006,AZ,0.00120305,34.048928,-111.093731,33.79,-84.47
2006,CO,0.001682446,39.550051,-105.782067,33.79,-84.47
2006,CT,0.0000666,41.603221,-73.087749,33.79,-84.47
2006,DE,0.001652648,38.910832,-75.52767,33.79,-84.47
2006,FL,0.042275095,27.664827,-81.515754,33.79,-84.47
2006,GA,0.64179104,32.157435,-82.907123,33.79,-84.47
2006,IA,0.011292868,41.878003,-93.097702,33.79,-84.47
2006,IL,0.041052764,40.633125,-89.398528,33.79,-84.47
2006,IN,0.14394099,40.551217,-85.602364,33.79,-84.47
2006,KS,0.007373638,39.011902,-98.484246,33.79,-84.47
2006,KY,0.094511793,37.839333,-84.270018,33.79,-84.47
2006,LA,0.014439744,31.244823,-92.145024,33.79,-84.47
2006,MA,0.001063279,42.407211,-71.382437,33.79,-84.47
2006,MD,0.02344343,39.045755,-76.641271,33.79,-84.47
2006,MI,0.031858124,44.314844,-85.602364,33.79,-84.47
2006,MN,0.005519336,46.729553,-94.6859,33.79,-84.47
2006,MO,0.032951408,37.964253,-91.831833,33.79,-84.47
2006,MS,0.01342895,32.354668,-89.398528,33.79,-84.47
2006,MT,0.000734836,46.879682,-110.362566,33.79,-84.47
2006,NC,0.113359904,35.759573,-79.0193,33.79,-84.47
2006,ND,0.006228141,47.551493,-101.002012,33.79,-84.47
2006,NE,0.003854495,41.492537,-99.901813,33.79,-84.47
2006,NH,0.000530439,43.193852,-71.572395,33.79,-84.47
2006,NJ,0.001566218,40.058324,-74.405661,33.79,-84.47
2006,NM,0.000680653,34.97273,-105.032363,33.79,-84.47
2006,NV,0.0000837,38.80261,-116.419389,33.79,-84.47
2006,NY,0.003543543,43.299428,-74.217933,33.79,-84.47
2006,OH,0.117560887,40.417287,-82.907123,33.79,-84.47
2006,OK,0.006561129,35.007752,-97.092877,33.79,-84.47
2006,OR,0.0000647,43.804133,-120.554201,33.79,-84.47
2006,PA,0.052738749,41.203322,-77.194525,33.79,-84.47
2006,SC,0.091300099,33.836081,-81.163725,33.79,-84.47
2006,SD,0.000717054,43.969515,-99.901813,33.79,-84.47
2006,TN,0.093416636,35.517491,-86.580447,33.79,-84.47
2006,TX,0.035554872,31.968599,-99.901813,33.79,-84.47
2006,UT,0.000510736,39.32098,-111.093731,33.79,-84.47
2006,VA,0.02384439,37.431573,-78.656894,33.79,-84.47
2006,WA,0.0000109,47.751074,-120.740139,33.79,-84.47
2006,WI,0.015528862,43.78444,-88.787868,33.79,-84.47
2006,WV,0.047729448,38.597626,-80.454903,33.79,-84.47
2006,WY,0.002412216,43.075968,-107.290284,33.79,-84.47
2007,AL,0.192336747,32.318231,-86.902298,33.79,-84.47
2007,AR,0.008908144,35.20105,-91.831833,33.79,-84.47
2007,AZ,0.000919859,34.048928,-111.093731,33.79,-84.47
2007,CO,0.002270902,39.550051,-105.782067,33.79,-84.47
2007,CT,0.000260459,41.603221,-73.087749,33.79,-84.47
2007,DE,0.004841389,38.910832,-75.52767,33.79,-84.47
2007,FL,0.05274215,27.664827,-81.515754,33.79,-84.47
2007,GA,0.676943686,32.157435,-82.907123,33.79,-84.47
2007,IA,0.008838245,41.878003,-93.097702,33.79,-84.47
2007,IL,0.030017472,40.633125,-89.398528,33.79,-84.47
2007,IN,0.09553211,40.551217,-85.602364,33.79,-84.47
2007,KS,0.008058549,39.011902,-98.484246,33.79,-84.47
2007,KY,0.067243592,37.839333,-84.270018,33.79,-84.47
2007,LA,0.011145875,31.244823,-92.145024,33.79,-84.47
2007,MA,0.001688819,42.407211,-71.382437,33.79,-84.47
2007,MD,0.040934288,39.045755,-76.641271,33.79,-84.47
2007,MI,0.019444864,44.314844,-85.602364,33.79,-84.47
2007,MN,0.004050204,46.729553,-94.6859,33.79,-84.47
2007,MO,0.028915302,37.964253,-91.831833,33.79,-84.47
2007,MS,0.011265131,32.354668,-89.398528,33.79,-84.47
2007,MT,0.000775654,46.879682,-110.362566,33.79,-84.47
2007,NC,0.144864656,35.759573,-79.0193,33.79,-84.47
2007,ND,0.007433657,47.551493,-101.002012,33.79,-84.47
2007,NE,0.003481301,41.492537,-99.901813,33.79,-84.47
2007,NH,0.000881115,43.193852,-71.572395,33.79,-84.47
2007,NJ,0.003862211,40.058324,-74.405661,33.79,-84.47
2007,NM,0.000572084,34.97273,-105.032363,33.79,-84.47
2007,NV,0.000109869,38.80261,-116.419389,33.79,-84.47
